Tag,Selected Attributes
DeviceInstance,"{""Id"": ""P-07BC-0_DI-91"", ""Address"": ""48"", ""Name"": ""Roof Master Room Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1374""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-92"", ""Address"": ""49"", ""Name"": ""Roof Living Areas Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1375""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-98"", ""Address"": ""50"", ""Name"": ""Majlis & Dining G.F Z35 v2"", ""ProductRefId"": ""M-0071_H-ZVIZ35V2-1_P-ZVIZ35V2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ35V2-1_HP-51E1-31-32AF"", ""Description"": """", ""Puid"": ""1384""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-99"", ""Address"": ""51"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZVIZ100-1_P-ZVIZ100"", ""Hardware2ProgramRefId"": ""M-0071_H-ZVIZ100-1_HP-5521-37-37C5"", ""Description"": """", ""Puid"": ""1387""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-100"", ""Address"": ""52"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZPDEZTPV2-1_P-ZPDEZTPV2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZPDEZTPV2-1_HP-44F1-15-B839"", ""Description"": """", ""Puid"": ""1389""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-101"", ""Address"": ""53"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZPDEZTPV2-1_P-ZPDEZTPV2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZPDEZTPV2-1_HP-44F1-15-B839"", ""Description"": """", ""Puid"": ""1390""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-102"", ""Address"": ""54"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZPDEZTPV2-1_P-ZPDEZTPV2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZPDEZTPV2-1_HP-44F1-15-B839"", ""Description"": """", ""Puid"": ""1391""}"
DeviceInstance,"{""Id"": ""P-07BC-0_DI-103"", ""Address"": ""55"", ""Name"": """", ""ProductRefId"": ""M-0071_H-ZPDEZTPV2-1_P-ZPDEZTPV2"", ""Hardware2ProgramRefId"": ""M-0071_H-ZPDEZTPV2-1_HP-44F1-15-B839"", ""Description"": """", ""Puid"": ""1392""}"
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
DeviceInstanceRef,{}
