GroupAddressId,RawAddress,Name,DatapointType,GroupRangeId,GroupRangeName,Attributes
P-07BC-0_GA-952,2493,D48 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-952"", ""Address"": ""2493"", ""Name"": ""D48 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""981""}"
P-07BC-0_GA-953,2494,D48 ON/Off Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-953"", ""Address"": ""2494"", ""Name"": ""D48 ON/Off Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""982""}"
P-07BC-0_GA-954,2495,D48 Dimming ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-954"", ""Address"": ""2495"", ""Name"": ""D48 Dimming "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""983""}"
P-07BC-0_GA-955,2496,D48 Dimming Info ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-955"", ""Address"": ""2496"", ""Name"": ""D48 Dimming Info "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""984""}"
P-07BC-0_GA-956,2497,D49 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-956"", ""Address"": ""2497"", ""Name"": ""D49 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""985""}"
P-07BC-0_GA-957,2498,D49 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-957"", ""Address"": ""2498"", ""Name"": ""D49 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""986""}"
P-07BC-0_GA-958,2499,D49 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-958"", ""Address"": ""2499"", ""Name"": ""D49 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""987""}"
P-07BC-0_GA-959,2500,D49 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-959"", ""Address"": ""2500"", ""Name"": ""D49 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""988""}"
P-07BC-0_GA-960,2501,D50 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-960"", ""Address"": ""2501"", ""Name"": ""D50 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""989""}"
P-07BC-0_GA-961,2502,D50 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-961"", ""Address"": ""2502"", ""Name"": ""D50 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""990""}"
P-07BC-0_GA-962,2503,D50 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-962"", ""Address"": ""2503"", ""Name"": ""D50 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""991""}"
P-07BC-0_GA-963,2504,D50 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-963"", ""Address"": ""2504"", ""Name"": ""D50 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""992""}"
P-07BC-0_GA-964,2505,D51 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-964"", ""Address"": ""2505"", ""Name"": ""D51 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""993""}"
